31354,66000,9500,3
31355,66400,9501,3
31356,66700,9510,3
31470,60220,100,3
31471,60240,101,3
31472,60270,102,3
31473,60310,103,3
31474,60280,104,3
31475,60290,105,3
31476,60210,106,3
31478,60300,108,3
31479,60230,109,3
31480,60250,110,3
31486,60100,130,3
31489,60220,170,3
31490,60240,171,3
31491,60270,172,3
31492,60280,174,3
31493,60290,175,3
31494,60300,178,3
31495,60230,179,3
31496,60250,180,3
31497,60100,181,3
31501,171,191,3
31502,172,192,3
31503,173,193,3
31504,174,194,3
31505,175,195,3
31506,176,196,3
31507,60020,250,3
31508,60020,251,3
31553,171,8148,3
31554,172,8149,3
31555,173,8150,3
31556,174,8151,3
31557,175,8152,3
31558,176,8153,3
31561,60110,8158,3
31565,60140,8163,3
31577,9500,8182,3
31578,9502,8183,3
31579,9504,8184,3
31581,60150,8188,3
31600,60120,8500,3
31601,60130,8590,3
31602,62010,8600,3
31603,62011,8601,3
31604,62012,8602,3
31605,62020,8603,3
31606,62021,8604,3
31607,62022,8605,3
31608,62030,8606,3
31609,62031,8607,3
31610,62032,8608,3
31611,62040,8609,3
31612,62041,8610,3
31613,62050,8611,3
31614,62051,8612,3
31615,62060,8613,3
31616,62061,8614,3
31617,62063,8615,3
31618,62062,8616,3
31619,62064,8617,3
31620,62052,8618,3
31702,65610,8970,3
31703,65640,8971,3
31704,65660,8972,3
31705,65680,8973,3
31706,65720,8974,3
31713,67000,9300,3
31714,67010,9301,3
31715,67020,9302,3
31716,67030,9303,3
31717,67050,9305,3
31718,67060,9306,3
31719,67070,9307,3
31720,67080,9308,3
31721,67090,9309,3
31722,67100,9310,3
31723,67110,9311,3
31724,67120,9312,3
31725,67130,9313,3
31726,67200,9320,3
31727,67210,9321,3
31728,67220,9322,3
31729,67230,9323,3
31730,67250,9325,3
31731,67260,9326,3
31732,67270,9327,3
31733,67280,9328,3
31734,67290,9329,3
31735,67300,9330,3
31736,67310,9331,3
31737,67400,9340,3
31738,67410,9341,3
31739,67420,9342,3
31740,67430,9343,3
31741,67440,9344,3
31742,67450,9345,3
31743,67460,9346,3
31744,67470,9347,3
31745,67480,9348,3
31746,67600,9360,3
31747,67610,9361,3
31748,67630,9363,3
31749,67640,9364,3
31750,67650,9365,3
31751,67800,9380,3
31752,67830,9383,3
31753,67840,9384,3
31754,67850,9385,3
31755,67860,9386,3
31756,67870,9387,3
31757,67880,9388,3
31758,67890,9389,3
31759,67900,9390,3
31760,67910,9391,3
31761,67920,9392,3
31762,68000,9400,3
31763,68010,9401,3
31764,68020,9402,3
31765,68030,9403,3
31766,68200,9420,3
31767,68210,9421,3
31768,68220,9422,3
31769,68230,9423,3
31770,68400,9440,3
31771,68410,9441,3
31772,197,10080,3
31773,65000,11000,3
31774,65010,11001,3
31775,65020,11002,3
31776,65030,11003,3
31777,65040,11004,3
31778,65050,11005,3
31779,65060,11006,3
31780,65070,11007,3
31781,65080,11008,3
31782,65090,11009,3
31783,65100,11010,3
31784,65110,11011,3
31785,65120,11012,3
31786,65130,11013,3
31787,65140,11014,3
31788,65150,11015,3
31789,65160,11016,3
31790,65170,11017,3
31791,65180,11018,3
31792,65190,11019,3
31793,65200,11020,3
31794,65210,11021,3
31795,65220,11022,3
31796,65230,11023,3
31797,65240,11024,3
31798,65250,11025,3
31799,65260,11026,3
31800,65270,11027,3
31801,65280,11028,3
31802,65290,11029,3
31803,65300,11030,3
31804,65310,11031,3
